Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
4.0875000000000e-001	       0.5065761	        -1.46975
4.1000000000000e-001	       0.4899332	       -1.450141
4.1125000000000e-001	       0.4658117	       -1.374641
4.1250000000000e-001	        0.443508	       -1.302538
4.1375000000000e-001	       0.4122755	       -1.227988
4.1500000000000e-001	       0.3775712	       -1.125928
4.1625000000000e-001	       0.3372778	       -1.004023
4.1750000000000e-001	       0.2937467	      -0.8717791
4.1875000000000e-001	       0.2468273	      -0.7247083
4.2000000000000e-001	       0.1964066	      -0.5767951
4.2125000000000e-001	       0.1475926	      -0.4046182
4.2250000000000e-001	      0.09264898	      -0.2337078
4.2375000000000e-001	      0.03887504	     -0.05151831
4.2500000000000e-001	     -0.01541815	       0.1190042
4.2625000000000e-001	     -0.06831767	       0.2857384
4.2750000000000e-001	      -0.1221055	       0.4619596
4.2875000000000e-001	      -0.1730852	       0.6330074
4.3000000000000e-001	      -0.2226738	       0.7886374
4.3125000000000e-001	      -0.2711228	       0.9514311
4.3250000000000e-001	      -0.3118226	        1.100194
4.3375000000000e-001	      -0.3523005	        1.226816
4.3500000000000e-001	      -0.3861182	        1.342586
4.3625000000000e-001	      -0.4169288	        1.455237
4.3750000000000e-001	      -0.4420894	        1.544614
4.3875000000000e-001	       -0.461759	        1.602444
4.4000000000000e-001	      -0.4792417	        1.640752
4.4125000000000e-001	      -0.4806426	         1.68824
4.4250000000000e-001	       -0.482043	         1.70252
4.4375000000000e-001	      -0.4753069	        1.704165
4.4500000000000e-001	      -0.4623136	         1.68082
4.4625000000000e-001	      -0.4425276	        1.642078
4.4750000000000e-001	      -0.4171991	        1.593408
4.4875000000000e-001	      -0.3855588	        1.507716
4.5000000000000e-001	      -0.3517483	        1.423931
4.5125000000000e-001	      -0.3103772	        1.319332
4.5250000000000e-001	      -0.2610113	        1.193209
4.5375000000000e-001	      -0.2123261	        1.045721
4.5500000000000e-001	      -0.1589109	       0.8971093
4.5625000000000e-001	      -0.1059496	       0.7547301
4.5750000000000e-001	      -0.0503265	       0.5739861
4.5875000000000e-001	      0.00463205	       0.3912169
4.6000000000000e-001	      0.05673066	       0.2327231
4.6125000000000e-001	       0.1203115	      0.05288927
4.6250000000000e-001	       0.1743634	      -0.1181008
4.6375000000000e-001	       0.2270036	      -0.2840752
4.6500000000000e-001	       0.2774313	      -0.4558409
4.6625000000000e-001	        0.326523	      -0.6125776
4.6750000000000e-001	       0.3700583	      -0.7648356
4.6875000000000e-001	       0.4098099	      -0.9067842
4.7000000000000e-001	       0.4438416	       -1.042399
4.7125000000000e-001	        0.472209	       -1.152484
4.7250000000000e-001	       0.4979294	       -1.250733
4.7375000000000e-001	       0.5137973	       -1.331313
4.7500000000000e-001	       0.5257468	       -1.391078
4.7625000000000e-001	         0.52938	       -1.445078
4.7750000000000e-001	       0.5279981	       -1.470454
4.7875000000000e-001	       0.5209063	       -1.478727
4.8000000000000e-001	        0.506249	       -1.462904
4.8125000000000e-001	       0.4922704	        -1.43172
4.8250000000000e-001	       0.4694606	       -1.380602
4.8375000000000e-001	       0.4427393	       -1.310146
4.8500000000000e-001	       0.4119967	       -1.232044
4.8625000000000e-001	       0.3793619	       -1.132321
4.8750000000000e-001	       0.3406705	       -1.025771
4.8875000000000e-001	       0.2997963	      -0.8795729
4.9000000000000e-001	       0.2547952	      -0.7360338
4.9125000000000e-001	       0.2049739	      -0.5822105
4.9250000000000e-001	       0.1578342	      -0.4258852
4.9374999999999e-001	       0.1050704	      -0.2524821
4.9499999999999e-001	      0.05229156	     -0.08854474
4.9624999999999e-001	    -0.003810263	      0.06675706
4.9749999999999e-001	      -0.0585368	       0.2412873
4.9874999999999e-001	      -0.1137551	       0.4171761
4.9999999999999e-001	      -0.1689434	       0.5930154
5.0124999999999e-001	      -0.2176097	       0.7492021
5.0249999999999e-001	       -0.266557	       0.9066505
5.0374999999999e-001	      -0.3119427	        1.054467
5.0499999999999e-001	      -0.3520175	        1.184861
5.0624999999999e-001	      -0.3870739	        1.310507
5.0749999999999e-001	      -0.4179573	        1.429475
5.0874999999999e-001	      -0.4413845	        1.522734
5.0999999999999e-001	       -0.461404	        1.594923
5.1124999999999e-001	       -0.473941	        1.639037
5.1249999999999e-001	       -0.476833	        1.665257
5.1374999999999e-001	      -0.4772867	        1.686476
5.1499999999999e-001	      -0.4701611	        1.680255
5.1624999999999e-001	      -0.4595878	         1.67458
5.1749999999999e-001	       -0.441641	        1.630319
5.1874999999999e-001	      -0.4201115	        1.586138
5.1999999999999e-001	      -0.3954042	        1.512723
5.2124999999999e-001	      -0.3542613	        1.412818
5.2249999999999e-001	      -0.3163802	        1.301045
5.2374999999999e-001	      -0.2718584	        1.178292
5.2499999999999e-001	      -0.2236102	        1.052858
5.2624999999999e-001	      -0.1711289	       0.8862769
5.2749999999999e-001	       -0.116404	        0.717563
5.2874999999999e-001	     -0.06004129	       0.5572022
5.2999999999999e-001	     -0.00407504	       0.3984451
5.3124999999999e-001	      0.05461526	       0.2235116
5.3249999999999e-001	       0.1160922	      0.05502334
5.3374999999999e-001	       0.1718666	      -0.1100272
5.3499999999999e-001	       0.2255369	      -0.2919172
5.3624999999999e-001	       0.2754049	      -0.4599271
5.3749999999999e-001	        0.323518	      -0.6313672
5.3874999999999e-001	       0.3659033	      -0.7963854
5.3999999999999e-001	       0.4009784	      -0.9389662
5.4124999999999e-001	       0.4391097	       -1.068945
5.4249999999999e-001	       0.4665041	       -1.192854
5.4374999999999e-001	        0.489371	        -1.27978
5.4499999999999e-001	       0.5063349	       -1.347047
5.4624999999999e-001	       0.5198778	       -1.422948
5.4749999999999e-001	       0.5255748	       -1.468487
5.4874999999999e-001	       0.5273813	        -1.50593
5.4999999999999e-001	         0.52209	       -1.521154
5.5124999999999e-001	       0.5104361	       -1.510279
5.5249999999999e-001	       0.4978231	       -1.489696
5.5374999999999e-001	        0.477812	        -1.45008
5.5499999999999e-001	       0.4526343	       -1.393756
5.5624999999999e-001	       0.4215277	       -1.324589
5.5749999999999e-001	        0.386837	       -1.223498
5.5874999999999e-001	        0.347189	       -1.104154
5.5999999999999e-001	       0.3032331	      -0.9697064
5.6124999999999e-001	       0.2610364	      -0.8353581
5.6249999999999e-001	       0.2115025	       -0.671014
5.6374999999999e-001	       0.1603754	      -0.5248855
5.6499999999999e-001	       0.1071414	      -0.3425102
5.6624999999999e-001	      0.05482181	      -0.1594584
5.6749999999999e-001	    0.0001550864	     0.005251013
5.6874999999999e-001	     -0.05250641	       0.1759721
5.6999999999999e-001	      -0.1052056	       0.3472746
5.7124999999999e-001	      -0.1589294	       0.5165582
5.7249999999999e-001	      -0.2068397	       0.6768683
5.7374999999999e-001	      -0.2555898	       0.8487555
5.7499999999999e-001	      -0.2999716	        1.005259
5.7624999999999e-001	      -0.3416418	        1.137376
5.7749999999999e-001	      -0.3790335	        1.260978
5.7874999999999e-001	      -0.4114519	        1.379324
5.7999999999999e-001	      -0.4416965	         1.46584
5.8124999999999e-001	      -0.4581127	        1.546975
5.8249999999999e-001	      -0.4730326	        1.585337
5.8374999999999e-001	      -0.4818213	        1.645805
5.8499999999999e-001	      -0.4829313	        1.654772
5.8624999999999e-001	      -0.4765564	        1.655055
5.8749999999999e-001	      -0.4648566	        1.633542
5.8874999999999e-001	      -0.4461706	        1.579147
5.8999999999999e-001	      -0.4246658	          1.5293
5.9124999999999e-001	      -0.3943507	        1.453481
5.9249999999999e-001	      -0.3558355	        1.357678
5.9374999999999e-001	      -0.3168412	        1.240731
5.9499999999999e-001	      -0.2718797	        1.144254
5.9624999999999e-001	      -0.2260792	        1.009781
5.9749999999999e-001	      -0.1748373	       0.8544552
5.9874999999999e-001	      -0.1235158	       0.7153654
5.9999999999999e-001	     -0.07362838	       0.5590155
6.0124999999999e-001	     -0.01022306	       0.3793717
6.0249999999999e-001	      0.04508322	       0.2078623
6.0374999999999e-001	       0.1017494	      0.03686536
6.0499999999999e-001	       0.1584859	      -0.1410595
6.0624999999999e-001	       0.2133588	      -0.3115484
6.0749999999999e-001	       0.2657044	       -0.478429
6.0874999999999e-001	       0.3142129	       -0.645464
6.0999999999999e-001	       0.3578768	      -0.8141146
6.1124999999999e-001	       0.3981325	      -0.9429081
6.1249999999999e-001	       0.4362911	       -1.093494
6.1374999999999e-001	       0.4658808	        -1.21415
6.1499999999999e-001	       0.4906019	       -1.301333
6.1624999999999e-001	       0.5074774	       -1.388356
6.1749999999999e-001	       0.5189194	       -1.461217
6.1874999999999e-001	       0.5250585	       -1.513839
6.1999999999999e-001	       0.5229441	       -1.538167
6.2124999999999e-001	       0.5211616	       -1.559272
6.2249999999999e-001	       0.5098537	        -1.56465
6.2374999999999e-001	       0.4943155	       -1.518379
6.2499999999999e-001	       0.4734007	       -1.488504
6.2624999999999e-001	       0.4502579	       -1.410127
6.2749999999999e-001	       0.4215113	       -1.339818
6.2874999999999e-001	       0.3903248	       -1.230236
6.2999999999999e-001	       0.3542187	       -1.116157
6.3124999999999e-001	       0.3108073	      -0.9788696
6.3249999999999e-001	       0.2701816	      -0.8345236
6.3374999999999e-001	       0.2224917	      -0.7085191
6.3499999999999e-001	       0.1725314	      -0.5380546
6.3624999999999e-001	       0.1188072	      -0.3637599
6.3749999999999e-001	      0.06587526	      -0.1853722
6.3874999999999e-001	      0.01011382	     -0.01409655
6.3999999999999e-001	     -0.04706208	        0.158782
6.4124999999999e-001	     -0.09842656	       0.3184859
6.4249999999999e-001	       -0.152711	       0.4920844
6.4374999999999e-001	      -0.2036871	       0.6607993
6.4499999999999e-001	       -0.252875	       0.8176858
6.4624999999999e-001	      -0.2967699	       0.9671549
6.4749999999999e-001	      -0.3381968	        1.098792
6.4874999999999e-001	      -0.3740508	        1.228556
6.4999999999999e-001	      -0.4070329	        1.335949
6.5124999999999e-001	      -0.4339885	        1.434955
6.5249999999999e-001	       -0.451034	         1.50698
6.5374999999999e-001	      -0.4652246	        1.579684
6.5499999999999e-001	       -0.472698	        1.616275
6.5624999999999e-001	      -0.4767284	        1.646139
6.5749999999999e-001	      -0.4731729	        1.640711
6.5874999999999e-001	      -0.4649708	        1.638727
6.5999999999999e-001	      -0.4534187	        1.598846
6.6124999999999e-001	       -0.424986	        1.546782
6.6249999999999e-001	      -0.3983958	        1.481605
